vnum,zone,name,description,exits_north,exits_south,exits_east,exits_west,exits_northeast,exits_northwest,exits_southeast,exits_southwest,exits_up,exits_down,ambient_1,ambient_2,ambient_3,ambient_4
4027,1,River Crossing  -  Shallow,A fordable point in the river. The current is strong. Bullets have a way of finding you here.,4021,4032,4028,4026,4022,4020,4033,4031,,,The river current tugs cold and relentless beneath your feet.,Crayon drawings faintly color the broken walls of the school north.,Mud churns thick where trenches meet northeast through the swampy ground.,The scent of cooking fires drifts softly from the refugee tents south.
4028,1,Enemy Trench  -  Outer,"You've crossed the line. Their trenches mirror yours. Same mud, different flag.",4022,4033,4029,4027,4023,4021,4034,4032,,,Mud clings heavily beneath wooden duckboards to the north.,The distant murmur of voices rises faintly from the refugee camp south.,Cracked earth and worn sandbags frame the junction to the north.,The smell of sweat and fear hangs thick near the enemy base southeast.
4029,1,Enemy Trench  -  Inner,Deeper into enemy lines. Abandoned equipment suggests a hasty retreat. Or a trap.,4023,4034,4030,4028,4024,4022,4035,4033,,,"Abandoned gear lies half-buried in the thick, churned mud.",The reinforced trench wall smells of damp wood and fear to the northeast.,A faint clatter echoes from the nearby enemy bunker to the east.,The distant hum of vehicles rises softly from the enemy base south.
4030,1,Enemy Bunker  -  Exterior,A concrete bunker built into a hillside. The door is reinforced steel. Bullet scars everywhere.,4024,4035,,4029,4025,4023,,4034,,,Reinforced steel bears fresh bullet scars on the bunker door.,Wooden supports creak softly from the trench bunker just north.,"The hillside slopes steeply, shadows stretching toward the observation post northeast.",A faint metallic tang lingers in the air around the enemy base perimeter southwest.
4031,1,Bombed Highway,A six-lane highway reduced to rubble. Overturned vehicles form a maze.,4026,4036,4032,,4027,,4037,,,,Twisted metal and shattered glass litter the highway rubble.,The toxic river gurgles quietly north beneath the broken bridge.,Tents flap lightly in the breeze on the refugee camp outskirts east.,The mountain road switchback looms ominously to the southeast.
4032,1,Refugee Camp  -  Outskirts,Tents and tarps stretch for acres. The displaced and the desperate. Aid workers do what they can.,4027,4037,4033,4031,4028,4026,4038,4036,,,The fabric of countless tents flutters softly under the open sky.,The river's strong current murmurs quietly to the north.,The scent of smoke and cooking fires drifts gently from the mountain road below.,A fortified checkpoint stands silent and watchful to the southeast.
4033,1,Refugee Camp  -  Center,A medical tent and a food distribution point. The line never ends.,4028,4038,4034,4032,4029,4027,4039,4037,,,The continual murmur of voices hums near the medical tents.,The river's cold breath drifts softly from the northwest ford.,Dust rises faintly where the mountain road bends sharply to the southwest.,The enemy trench lines stretch dirty and unyielding to the north.
4034,1,Enemy Base  -  Perimeter,Their base. Similar to yours but with different insignia. The irony isn't lost on anyone.,4029,4039,4035,4033,4030,4028,4040,4038,,,"Concrete walls bear faded insignia beneath a gray, heavy sky.",Stalactites drip faintly from the cave entrance below to the south.,The dull clang of distant machinery hums from the enemy base interior east.,Tents flap and rustle faintly from the refugee camp center west.
4035,1,Enemy Base  -  Interior,Inside their wire. Barracks and motor pools. A mirror image of home.,4030,4040,,4034,,4029,,4039,,,Bunk beds stand empty beneath flickering fluorescent lights.,The sharp scent of oil and fuel drifts from the motor pools below.,Crates are stacked against damp stone walls in the cave entrance southwest.,Bullet scars mar the concrete walls of the enemy bunker to the north.
4036,1,Mountain Road  -  Base,A winding road begins its ascent into the mountains. Switchbacks visible above.,4031,,4037,,4032,,4041,,,,"The road winds upward, switchbacks sharp against the mountain's face.",Overturned vehicles choke the highway just beyond the base north.,Tents ripple faintly in the breeze from the refugee camp northeast.,A heavy blast door looms silent and forbidding to the southeast.
4037,1,Mountain Road  -  Switchback,A hairpin turn on the mountain road. The drop is fatal. Guardrails are optional.,4032,4041,4038,4036,4033,4031,4042,,,,The line at the medical tent stretches across the northern outskirts.,Military blast doors loom heavy below the jagged road.,Faint voices echo from the fortified checkpoint to the east.,Broken highways to the northwest crumble under the mountain’s watch.
4038,1,Mountain Pass  -  Checkpoint,A fortified position controlling the pass. Whoever holds this controls movement.,4033,4042,4039,4037,4034,4032,4043,4041,,,"A steady guard presence marks the pass, weapons at the ready.",The hum of refrigeration units drifts from the nearby lab below.,Tents ripple softly in the northern refugee center’s breeze.,Darkness seeps from the cave entrance to the east.
4039,1,Mountain Cave  -  Entrance,"A natural cave system. Used as shelter, storage, or worse. Darkness within.",4034,4043,4040,4038,4035,4033,,4042,,,Dim light filters from the refugee center’s tents to the northwest.,Cold metal crates piled deep absorb the cave’s dripping chill.,Harsh silhouettes of military barracks are visible just beyond the wire.,Hazmat suits hang silent in the lab to the southwest.
4040,1,Mountain Cave  -  Deep,Deep in the cave system. Stalactites drip. Crates of weapons are stacked against the walls.,4035,,,4039,,4034,,4043,,,Stalactites drip steadily in the heavy silence of the cavern.,"Weapons crates line the walls, shadows stretching toward the enemy base.",Distant echoes carry from the barracks just beyond the cave’s mouth.,A faint metallic scent wafts from the arsenal below.
4041,1,Underground Facility  -  Entrance,A blast door set into the mountainside. Military markings. Top secret classification.,4037,4045,4042,,4038,4036,4046,4044,,,The sharp scent of pine mingles with mountain air on the winding road above.,Heat shimmers faintly from the irradiated crater to the south.,The blast door's cold steel absorbs the chill from switchbacks nearby.,Geiger counters tick steadily from the zone’s glassy edge to the southwest.
4042,1,Underground Facility  -  Lab,A research facility. Containment units and hazmat suits. What were they working on?,4038,4046,4043,4041,4039,4037,4047,4045,,,Faint antiseptic smells linger from containment units nearby.,The low murmur of checkpoints drifts in from the mountain pass.,A shimmer of heat rises from the irradiated epicenter to the southwest.,The sharp mountain air carries scents of dust and tarps from the switchback.
4043,1,Underground Facility  -  Arsenal,A weapons cache that could arm a small country. Some of these shouldn't exist.,4039,4047,,4042,4040,4038,,4046,,,Crates of weapons cast long shadows in the flickering light.,"The damp cave entrance exhales a cold, musty breath to the north.",A faint mechanical beep pulses from the crashed aircraft far below.,Hazmat suits hang sterile and still just beyond the lab entrance.
4044,1,Irradiated Zone  -  Edge,Geiger counters click rapidly. The ground is glass in places. A failed weapon test.,,,4045,,4041,,4048,,,,"Geiger counters click urgently over glassy, cracked earth.",The blast door’s cold metal glints faintly to the northeast.,A lonely watchtower stands vigil in the shifting sands to the southeast.,
4045,1,Irradiated Zone  -  Center,The epicenter. A crater of fused sand. The air shimmers with heat that isn't heat.,4041,4048,4046,4044,4042,,4049,,,,The air shimmers with a heat that burns but does not scorch.,Fused sand crunches softly underfoot in the radioactive glow.,Palm fronds rustle faintly from the impossible oasis to the southeast.,Military blast doors stand cold and silent just beyond the crater’s rim.
4046,1,Irradiated Zone  -  Bunker,A survival bunker. Sealed for decades. The door has been forced open from the inside.,4042,4049,4047,4045,4043,4041,4050,4048,,,"The bunker’s sealed door yawns open, a hollow invitation to decay.",Palm trees sway gently from the lush oasis just beyond.,Distant beeps pulse from weapons crates in the arsenal to the northeast.,The cracked earth of the irradiated center lies just westward.
4047,1,Crashed Aircraft,A transport plane broken in half. Cargo scattered across the desert. The black box still beeps.,4043,4050,,4046,,4042,,4049,,,The persistent beep of a black box cuts through the desert stillness.,Cargo crates lie scattered across sunbaked sand like forgotten memories.,A collection of tents and dust rises softly in the wind to the south.,Hazmat suits hang stiffly in the lab far above the wreckage.
4048,1,Desert Outpost,A lonely watchtower in the sand. One soldier on rotation. They haven't been relieved in weeks.,4045,,4049,,4046,4044,,,,,A lone soldier’s watchful gaze scans the shimmering horizon.,The faint green of oasis palms flickers in the heat’s mirage to the east.,Glass shards crunch underfoot where the irradiated edge meets sand.,"A sealed bunker’s door stands ajar, whispering secrets in the wind."
4049,1,Oasis,An impossible green spot in the wasteland. Fresh water. Palm trees. It feels like a trap because it might be.,4046,,4050,4048,4047,4045,,,,,Palm fronds sway gently despite the still desert air.,"A faint, irregular beep echoes from the crashed aircraft northeast.",The desert outpost watchtower stands silent to the west.,Heat from the shimmering irradiated crater to the northwest stings the skin.
4050,1,Arms Dealer's Camp,A collection of tents and vehicles. The dealer sells to both sides. Business is good.,4047,,,4049,,4046,,,,4100,Dust drifts past well-worn tents under the harsh sun.,The faint beep of a black box carries from the north.,Palm trees and fresh water glimmer just to the west.,A heavy metal door creaks occasionally from below.
4097,warzone,Command Bunker,A fortified underground command center. Maps and battle plans cover every surface. A cache of supplies sits in the corner.,,,,,,,,,,,"Maps are pinned with frayed edges, their lines blurred by time.",The stale air carries the faint musk of aged paper and metal.,A low hum vibrates beneath the reinforced floor.,
4098,warzone,The Sealed Bunker Door,A massive blast door with a voice-activated lock. A faded sign reads: 'AUTHORIZATION REQUIRED  -  STATE THE WATCHWORD'. Scratched into the frame: 'What keeps soldiers alive? Their...' The answer seems to be 'discipline'.,,,,4015,,,,,,,"The heavy blast door looms, cold steel etched with fading scratches.",A faint metallic scent lingers near the sealed entrance.,Distant echoes roll in from the shattered tank to the west.,
4099,warzone,Armory Vault,A reinforced vault containing military-grade equipment. Most of it is still functional.,4020,,,,,,,,,,Dust drifts silently across the cracked stones of the dry fountain.,The hollow echo of the empty clock tower carries faint whispers.,A deep crater scars the earth beyond the village square.,
4100,1,Bunker  -  Blast Door,"A massive blast door, partially open. The hydraulics have failed. You squeeze through.",,4102,,,,,4103,4101,4050,,The blast door's cold metal hums faintly with trapped tension.,"Chemical showers nearby leave a sharp, sterile scent.",Sounds of unrest drift up from the camp tents above.,"The air here feels colder, sealed away from the wasteland heat."
4101,1,Bunker  -  Decontamination,Chemical showers and UV lights. A sign reads: 'ALL PERSONNEL MUST DECONTAMINATE.',,4105,4102,,4100,,4106,4104,,,"Ultraviolet lights flicker, casting eerie shadows on wet floors.",A sign warns of contamination while faint noises come from reception east.,The sharp scent of chemicals lingers thick in the air.,Silent footsteps echo from the command center to the southeast.
4102,1,Bunker  -  Reception,A security desk with shattered monitors. Bullet holes in the wall behind it.,4100,4106,4103,4101,,,4107,4105,,,Shattered monitors flicker faintly in the stale air.,"Bullet holes mar the walls, telling stories of conflict.",Static hum seeps from the communications room southeast.,Chemical smells drift in from decontamination to the west.
4103,1,Bunker  -  Armory,"Weapon racks, mostly empty. What remains is experimental. Serial numbers filed off.",,4107,,4102,,4100,4108,4106,,,Empty weapon racks creak softly in the stillness.,The scent of oil and metal mingles with sterile cold.,Distant static hums from communications directly south.,A faint clinical chill rises from the medical bay southeast.
4104,1,Bunker  -  Barracks,Rows of bunks. Some still have personal effects. Photos of families. Letters never sent.,,4109,4105,,4101,,4110,,,,"Rows of abandoned bunks hold faded, forgotten memories.",A faint hum of diesel generators vibrates from the south.,The sterile scent of decontamination drifts northeast.,"Letters and photos lie untouched, gathering dust."
4105,1,Bunker  -  Mess Hall,A cafeteria frozen in time. Trays of petrified food. The vending machine still works somehow.,4101,4110,4106,4104,4102,,4111,4109,,,Petrified meals sit undisturbed beneath cracked fluorescent lights.,The vending machine hums quietly amidst the silence.,Chemical odors rise from decontamination just to the north.,A low mechanical drone comes from the generator room southwest.
4106,1,Bunker  -  Command Center,A war room with a massive tactical display. Red dots everywhere. The situation was dire.,4102,4111,4107,4105,4103,4101,4112,4110,,,Red tactical dots flicker faintly on cracked screens.,The stale scent of sweat and fear lingers in the air.,Distant static from communications drifts in to the east.,Cold storage to the southeast exhales a biting chill.
4107,1,Bunker  -  Communications,Radio equipment. Static on every frequency. One channel plays music from decades ago.,4103,4112,4108,4106,,4102,4113,4111,,,Radio static crackles softly between brief bursts of muffled music.,Cold air leaks in from the freezers to the south.,Flickering screens blink erratically in the dim light.,Emergency lighting glows faintly from the escape tunnel southeast.
4108,1,Bunker  -  Medical Bay,An operating theater. Surgical tools laid out. The patient left mid-procedure.,,4113,,4107,,4103,,4112,,,Surgical tools glint under flickering overhead lights.,An eerie silence fills the room where procedures stopped abruptly.,Cold air seeps upward from the freezers southwest.,The faint hum of radio static drifts through thin walls west.
4109,1,Bunker  -  Generator Room,"Diesel generators hum. Fuel is low. When it runs out, the lights go forever.",4104,,4110,,4105,,4114,,,,"Diesel engines rumble low, a persistent mechanical heartbeat.",The faint scent of fuel mingles with warm recycled air.,Flickering lights from the server room to the east pulse steadily.,The stairwell to the southeast descends into silent darkness.
4110,1,Bunker  -  Server Room,Military servers still processing. Classified data scrolls across screens. Eyes only.,4105,4114,4111,4109,4106,4104,4115,,,,"Diesel engines hum faintly from the west, a low mechanical drone.",Cold concrete walls give way to rough bedrock beneath the stairs to the south.,"Flickering monitors cast pale glows, scrolling endless classified data.","A faint metallic scent lingers, mixed with stale recycled air."
4111,1,Bunker  -  Research Lab,Biological containment units. Most are intact. One is broken. The contents are gone.,4106,4115,4112,4110,4107,4105,4116,4114,,,The faint buzz of radio static drifts from the northeast communications room.,"Cold air seeps softly from the freezers to the east, sharp and biting.",Broken containment glass casts fractured shadows across the floor.,"Trays of petrified food linger faintly, mixing with sterile chemical smells."
4112,1,Bunker  -  Cold Storage,Freezers at -40. Biological samples. Some are labeled. Some are deliberately unlabeled.,4107,4116,4113,4111,4108,4106,,4115,,,"The sharp chill of freezers chills the air, frost creeping along surfaces.","Distant radio static hums from the north, occasionally broken by faint music.",Surgical steel gleams faintly from the medical bay just beyond the northeast.,A low metallic creak echoes softly from the broken containment room below.
4113,1,Bunker  -  Escape Tunnel,A narrow tunnel with emergency lighting. It leads somewhere outside the base perimeter.,4108,,,4112,,4107,,4116,,,"Emergency lights hum quietly, casting long shadows down the narrow tunnel.",Soft echoes of distant radio static mingle with the cold scent from freezers west.,"A faint sterile smell drifts from the medical bay ahead, sharp and clinical.","The tunnel walls feel cool and rough under fingertips, worn from disuse."
4114,1,Sub-Level  -  Stairwell,Stairs descend further. The walls change from concrete to bedrock. This wasn't in the plans.,4110,4117,4115,,4111,4109,4118,,,,Cold bedrock walls replace concrete as the stairs descend into darkness.,Diesel hums faintly from the generator room to the northwest.,"The server room above pulses with electronic life, soft beeps and clicks.",A musty scent of old paper drifts up faintly from the archive below.
4115,1,Sub-Level  -  Containment,A room designed to hold something. The restraints are massive. They've been broken.,4111,4118,4116,4114,4112,4110,4119,4117,,,"Heavy broken restraints scar the walls, cold and rusted.",A low mechanical hum pulses from the server room to the northwest.,"The chill of freezers seeps in from northeast, biting and sharp.",Faint whispers of paper rustling rise from the archive far below.
4116,1,Sub-Level  -  Project Room,"Files marked 'PROJECT PROMETHEUS.' Whatever they made, it got out.",4112,4119,,4115,4113,4111,,4118,,,Files stamped PROJECT PROMETHEUS radiate secrets that chill the air.,"Cold air drifts in from the freezers to the north, sharp and clean.","Faint echoes rise from the pit below, a deep and ominous rumble.",Dim emergency lights flicker in the escape tunnel to the northeast.
4117,1,Deep Storage  -  Vault,A bank vault door. Inside: crates marked with radiation symbols and 'DO NOT OPEN UNTIL 2099.',4114,,4118,,4115,,,,,,"The heavy vault door looms silently, its metal cold and unyielding.",A faint scent of ozone and old paper drifts from the archive to the east.,"The stairwell above breathes cold air, the bedrock walls damp and rough.","Radiation warnings hum faintly in the air, unseen but deeply felt."
4118,1,Deep Storage  -  Archive,Filing cabinets of classified documents. Decades of secrets. Some pages are redacted entirely.,4115,,4119,4117,4116,4114,,,,,"Rows of filing cabinets stand silent, their secrets sealed tight.",A faint metallic hum rises from the containment room to the north.,"Heavy vault doors rest to the west, cold and impenetrable.",A soft draft carries whispers from the pit’s shaft far to the east.
4119,1,The Pit,The deepest point. A shaft drilled into the earth. Something is down there. Something is coming up.,4116,,,4118,,4115,,,,,"The shaft descends into darkness, a void that seems to breathe.","Low rumbles echo from below, stirring dust and dread alike.",Faint light flickers from containment restraints to the northwest.,The stale scent of earth and rust hangs heavy in the heavy silence.
5001,2,The Apex,"The highest point reachable. Stars surround you in every direction. A single crystal floats here, pulsing with light.",,5004,5002,,,,5005,5003,,6,"A solitary crystal pulses gently, casting soft light on endless stars.",A faint hum drifts in from the musical orbits of the Star Garden to the east.,"Below, the Gateway Chamber opens onto floating islands veiled in mist.",
5002,2,Star Garden,Miniature stars orbit a central point like a mobile. Each one hums a different note.,,5005,,5001,,,5006,5004,,,"Miniature stars orbit like a mobile, each resonating with a unique tone.","To the west, the Apex glows with a single crystal pulsing in rhythm.",A subtle crackle from the Observatory Shard drifts in from the southwest.,
5003,2,Crystal Shard  -  North,A floating platform of pure crystal. It rings like a bell when you step on it. The void stretches below.,,5008,5004,,5001,,5009,5007,,,"The platform rings softly, its crystal surface cool underfoot.","The void stretches endlessly below, swallowing distant light.","From the northeast, a pulsing crystal casts a faint, steady glow.",
5004,2,The Observatory Shard,A shard with a massive telescope pointed at something specific. The lens is cracked but still functional.,5001,5009,5005,5003,5002,,5010,5008,,,The cracked telescope lens reflects distant stars in fractured patterns.,A deep resonance from the nearby Star Garden hums in harmonic waves.,Cool drafts carry faint scents of unknown flora from the Garden Shard.,
5005,2,Library Shard,Books float in zero gravity around a reading chair. Knowledge from dead worlds preserved in amber light.,5002,5010,5006,5004,,5001,5011,5009,,,"Books float in quiet orbit, their pages faintly glowing with amber light.",A soft harmonic vibration filters in from crystalline pillars to the east.,The gentle hum of miniature stars drifts in from the north.,
5006,2,The Singing Stones,Tall crystalline pillars that vibrate with harmonic frequencies. Standing between them is transcendent.,,5011,,5005,,5002,,5010,,,Tall crystalline pillars pulse with vibrating harmonics that resonate deeply.,"Nearby stars shimmer softly, their notes weaving through the still air.",The scent of ancient pages drifts faintly from the floating books westward.,
5007,2,Vine Bridge  -  West,A bridge of living vines spans the void between shards. It sways gently. Don't look down.,,5013,5008,,5003,,5014,5012,,,"Living vines sway gently, their surface cool and slightly damp to the touch.","Below, the void yawns black and silent, endless and deep.",The distant roar of waterfall water drifts softly from the south.,
5008,2,Garden Shard  -  North,"An impossible garden floating in space. Flowers that shouldn't exist bloom in colors with no name. Space itself seems to bend here. Light curves in impossible arcs around an invisible point, and the stars behind it are distorted into concentric rings  -  the gravitational echo of something that passed through recently.",5003,5014,5009,5007,5004,,5015,5013,,,"Colors shift in impossible blooms, glowing softly beneath curved light arcs.",The delicate scent of upside-down trees drifts faintly from the east.,A cool mist rises where water cascades off the shard to the southwest.,
5009,2,Central Nexus Shard,The largest shard  -  a floating island the size of a city block. Paths radiate outward in every direction.,5004,5015,5010,5008,5005,5003,5016,5014,,,"Paths stretch outward underfoot, lined with polished stone and cool shadows.","Mechanical gears tick faintly from the southeast, counting endless moments.",The hum of distant stars and ringing crystal platforms blend softly nearby.,
5010,2,Garden Shard  -  East,"More impossible flora. A tree grows upside down, its roots reaching for stars instead of soil.",5005,5016,5011,5009,5006,5004,5017,5015,,,"Roots stretch skyward, inverted branches brushing softly against cool starlight.","From the north, floating books glow with quiet, amber knowledge.",A distant chorus of harmonic stones hums faintly from the northeast.,
5011,2,Vine Bridge  -  East,Another living bridge. This one has thorns. They retract as you approach. Mostly.,5006,5017,,5010,,5005,5018,5016,,,Thorns retract with slow inevitability as the bridge pulses alive beneath.,"A mirrored surface shimmers to the south, reflecting with a delayed echo.","The vibrating crystalline pillars hum a deep, resonant chord from the north.",
5012,2,Isolated Shard  -  Far West,A tiny shard barely large enough to stand on. The view is vertigo-inducing and beautiful.,,5019,5013,,5007,,5020,,,,"The vast emptiness below swallows sound, leaving a profound, serene silence.",A gentle sway carries the scent of luminescent mushrooms drifting upward.,"Stars stretch endlessly in every direction, cold and distant.",
5013,2,Waterfall Shard,"Water falls from nowhere, pools briefly on this shard, then cascades off the edge into nothing.",5007,5020,5014,5012,5008,,5021,5019,,,Water cascades over the edge into endless void below.,The vine bridge to the north sways with a gentle creak.,Luminescent mushroom spores drift upward from the south.,Faint echoes of distant trades float in from the east.
5014,2,Marketplace Shard,"Beings from different realities trade here. Currency is abstract  -  memories, emotions, time.",5008,5021,5015,5013,5009,5007,5022,5020,,,The scent of memories and time lingers in the air.,Impossible flowers bloom quietly in the garden to the north.,Mushroom spores float softly from the southwest.,Small void-crystal homes hum faintly to the south.
5015,2,The Great Bridge,A massive stone bridge connecting the central shard to the southern archipelago. Statues line its rails.,5009,5022,5016,5014,5010,5008,5023,5021,,,Stone statues gaze silently along the bridge rails.,Impossible flora reach skyward from gardens to the north.,The distant aroma of otherworldly cooking drifts up from the southeast.,"Crystal seats curve gently below, waiting for unseen audiences."
5016,2,Clockwork Shard,"A shard made entirely of gears and mechanisms. They turn endlessly, measuring something.",5010,5023,5017,5015,5011,5009,5024,5022,,,"Endless gears turn with a soft, precise rhythm.",Upside-down roots reach for stars in the garden to the north.,Sparks rise like fireflies from the forge to the southeast.,Thorned vines nearby twitch and retract quietly.
5017,2,Mirror Shard,The surface is perfectly reflective. Your reflection moves a half-second behind you.,5011,5024,5018,5016,,5010,5025,5023,,,Reflections ripple like delayed shadows on the mirror surface.,Thorned vine bridge pulses faintly to the north.,Sparks drift upward from the forge just south.,The crumbling shard to the east releases slow dust motes.
5018,2,Broken Shard  -  Edge,A shard that's crumbling. Pieces drift away slowly. It won't last much longer.,,5025,,5017,,5011,,5024,,,Fragments slowly drift away into endless dark.,Thorned vines hesitate nearby to the northwest.,A blacksmith's upward sparks flicker to the southwest.,Tunnels yawn darkly in the unstable shard to the south.
5019,2,The Void  -  West Pocket,A bubble of breathable air in the void. Nothing else. Just you and the stars.,5012,,5020,,5013,,5026,,,,Stars glitter sharply against the endless black.,"A tiny shard above offers a dizzying, beautiful view.",Soft mushroom spores float in from the east.,Gravity pulls faintly from the dense core below.
5020,2,Mushroom Shard,Giant luminescent mushrooms grow from this shard. Their spores drift upward like reverse snow.,5013,5026,5021,"{'target_vnum': 5099, 'locked': True, 'key_vnum': 9813, 'description': 'A locked door blocks the way.'}",5014,5012,5027,,,,"Giant mushrooms glow softly, shedding drifting spores.",Water splashes faintly from the shard to the north.,A spiral crystal staircase descends nearby to the southeast.,The air shimmers with raw astral power from the west.
5021,2,Residential Shard  -  West,Small dwellings built from void-crystal. Beings who chose to live between worlds.,5014,5027,5022,5020,5015,5013,5028,5026,,,Void-crystal homes glisten faintly under distant light.,Memories and emotions hum softly from the marketplace to the north.,Luminescent spores drift in from the west.,"The spiral descent glows red, fading light below."
5022,2,The Amphitheater,A natural bowl in a large shard. Seats carved from crystal. Performances happen when reality allows.,5015,5028,5023,5021,5016,5014,5029,5027,,,Crystal seats curve silently in the natural bowl.,Stone statues stand guard along the bridge to the north.,Red light rises faintly from the descent below.,The scent of abstract trade lingers softly nearby.
5023,2,Residential Shard  -  East,More dwellings. A communal kitchen. The smell of cooking that defies physics.,5016,5029,5024,5022,5017,5015,5030,5028,,,Warm aromas of impossible cooking drift through the air.,"Gears turn steadily to the north, counting unseen things.",Sparks rise from the forge to the east.,The red glow deep below pulses with growing heat.
5024,2,Forge Shard,A blacksmith works void-metal on an anvil of compressed starlight. Sparks fall upward.,5017,5030,5025,5023,5018,5016,,5029,,,Sparks ascend like glowing embers into the void.,Your reflection lags on the mirrored surface to the north.,The shattered shard to the east groans with instability.,A low heat rises from the descent below.
5025,2,Broken Shard  -  Interior,The inside of the crumbling shard. Tunnels riddle it like worm-eaten wood. Unstable.,5018,,,5024,,5017,,5030,,,Sparks drift upward from the blacksmith's anvil to the west.,Reflections lag behind movements in the northwest shard's mirrored surface.,Heavy gravity hums faintly from the compressed core below to the southwest.,Fragments of the crumbling edge float slowly northward.
5026,2,Gravity Well  -  Edge,Gravity gets stronger here. A collapsed shard forms a dense core that pulls things inward.,5020,5031,5027,,5021,5019,5032,,,,Mushroom spores drift upward like reverse snow to the north.,Sound is muted and muffled in the dark shard to the south.,A spiral staircase carved from crystal descends to the east.,"Small dwellings shimmer faintly northeast, their edges glowing softly."
5027,2,The Descent  -  Upper,A spiral staircase carved from a single crystal descends into deeper void.,5021,5032,5028,5026,5022,5020,5033,5031,,,Luminescent mushrooms pulse faintly from the northwest.,The muffled shadows of the dark shard rise in silhouette to the southwest.,Heat from molten rock drifts faintly from the southeast.,Crystal seats curve softly in the amphitheater to the northeast.
5028,2,The Descent  -  Mid,Halfway down the spiral. The light from above is fading. New light glows from below  -  red.,5022,5033,5029,5027,5023,5021,5034,5032,,,A red glow rises steadily from below to the south and east.,The scent of impossible cooking drifts faintly from the northeast.,Bioluminescent creatures flicker softly in the dark caves to the southwest.,Crystal seats curve gently in the amphitheater just north.
5029,2,The Descent  -  Lower,Near the bottom. The red glow is stronger. Heat rises. Something burns below.,5023,5034,5030,5028,5024,5022,5035,5033,,,A communal kitchen's smell of strange cooking hangs to the north.,The phoenix's eternal flame burns fiercely to the south.,Blacksmith sparks sparkle faintly to the northeast.,The icy cold presses in from the southeast.
5030,2,Gravity Well  -  Core,The collapsed shard's core. Gravity is twice normal. Movement is exhausting. Treasures are compressed here.,5024,5035,,5029,5025,5023,5036,5034,,,"Heavy gravity weighs down from all around, making each step slow.",Frozen creatures loom within icy walls to the southeast.,The distant heat of molten rock rises from the southwest.,Blacksmith sparks drift upward from the forge just north.
5031,2,Dark Shard  -  Surface,A shard that absorbs light. Everything is visible only in silhouette. Sound is muffled.,5026,,5032,,5027,,5037,,,,"Shadows shift slowly, swallowed by the dark shard's light absorption.","Sound is muffled, as if underwater, beneath the heavy gravity to the north.",Bioluminescent glimmers tease from tunnels to the east.,Fragments of shattered shards drift silently to the southeast.
5032,2,Dark Shard  -  Caves,Tunnels within the dark shard. Bioluminescent creatures provide the only light.,5027,5037,5033,5031,5028,5026,5038,,,,Soft bioluminescent glows pulse gently around the cavern walls.,Muffled quiet from the dark shard surface seeps in from the west.,A deep chain disappears into darkness far below to the southeast.,Gravity hums faintly from the collapsed core to the northwest.
5033,2,The Furnace Shard,A shard of molten rock. Lava flows in channels. The heat is barely survivable.,5028,5038,5034,5032,5029,5027,5039,5037,,,"Molten channels hiss and bubble, radiating searing heat.",The red glow of the descent below fades gently to the north.,Voices echo faintly from nowhere in the whispering void to the southeast.,Dark bioluminescent lights flicker softly from the caves to the west.
5034,2,The Furnace  -  Core,The heart of the burning shard. A phoenix nests here in eternal flame.,5029,5039,5035,5033,5030,5028,5040,5038,,,An eternal flame flickers with a heat that never wanes.,"Cold presses in from the ice shard to the east, biting and sharp.",Faint echoes of voices drift from the whispering void to the south.,The red glow pulses steadily from the spiral descent to the northwest.
5035,2,Ice Shard  -  Surface,A shard of pure ice. The cold is absolute. Your breath freezes before it leaves your lips.,5030,5040,5036,5034,,5029,,5039,,,Breath freezes instantly in the absolute cold around.,Heat from the burning shard to the west hums faintly beneath the frost.,"Frozen silence holds sway, broken only by distant echoes from the whispering void southwest.",A burning red light glows softly from the nearby descent below to the northwest.
5036,2,Ice Shard  -  Caverns,Inside the ice shard. Frozen creatures are visible within the walls. Some look recent.,,,,5035,,5030,,5040,,,Frozen figures are trapped within the thick ice walls.,A heavy gravity pulse vibrates faintly from the core to the northwest.,Time feels uncertain as moments overlap to the southwest.,The biting cold of the ice shard surface presses just west.
5037,2,The Graveyard of Shards,Fragments of destroyed shards drift here. A memorial to worlds that ended.,5032,5041,5038,,5033,5031,5042,,,,Bioluminescent glimmers flicker faintly from tunnels above.,A massive chain plunges into darkness to the east.,Heat from molten rock drifts faintly from the northeast.,"The void below pulses with vast, unseen movements."
5038,2,The Anchor Point,A massive chain extends downward into absolute darkness. Something is tethered below.,5033,5042,5039,5037,5034,5032,5043,5041,,,A massive chain extends downward into endless darkness.,The faint roar of lava channels drifts from the north.,Whispers echo softly from the void to the east.,Something warm and breathing lies hidden beneath.
5039,2,The Whispering Void,Voices echo here from nowhere. Fragments of conversations from other realities bleed through.,5034,5043,5040,5038,5035,5033,,5042,,,Fragments of distant conversations drift in the still air.,Heat from eternal flames ripples up from the north.,"Cold, biting air creeps from icy surfaces nearby.","The abyss below exhales with a soft, organic pulse."
5040,2,Temporal Shard,Time moves differently here. You can see yourself arriving and leaving simultaneously.,5035,,,5039,5036,5034,,5043,,5100,Frost clings to surfaces in the cold shard above.,Whispers unravel and entwine in the air to the west.,"The living floor beneath breathes a slow, steady rhythm.",Eyes blink slowly from the darkness below.
